"","Characteristics","Total","English","French","English.and.French"
"Algoma","    Born in province of residence",95450,85685,5360,490
"Brant","    Born in province of residence",97845,93905,695,60
"Bruce","    Born in province of residence",55405,52990,340,40
"Chatham-Kent","    Born in province of residence",91160,86285,1915,295
"Cochrane","    Born in province of residence",69215,33000,31595,1025
"Dufferin","    Born in province of residence",42420,41265,290,40
"Durham","    Born in province of residence",394380,373705,4070,765
"Elgin","    Born in province of residence",67455,63990,365,35
"Essex","    Born in province of residence",278460,250030,8885,1115
"Frontenac","    Born in province of residence",101055,96955,1555,195
"Greater Sudbury","    Born in province of residence",131090,88385,37355,1590
"Grey","    Born in province of residence",77270,74500,365,120
"Haldimand-Norfolk","    Born in province of residence",88705,84655,480,40
"Haliburton","    Born in province of residence",13340,12940,135,10
"Halton","    Born in province of residence",274030,254250,2965,460
"Hamilton","    Born in province of residence",332110,303845,2855,525
"Hastings","    Born in province of residence",102525,100215,765,150
"Huron","    Born in province of residence",50865,48575,240,65
"Kawartha Lakes","    Born in province of residence",62170,60630,455,75
"Kenora","    Born in province of residence",48420,35375,535,75
"Lambton","    Born in province of residence",102625,98635,1515,230
"Lanark","    Born in province of residence",50285,48000,1510,210
"Leeds and Grenville","    Born in province of residence",77940,74925,1665,225
"Lennox and Addington","    Born in province of residence",33005,32450,225,30
"Manitoulin","    Born in province of residence",11660,9970,290,10
"Middlesex","    Born in province of residence",297600,280085,3035,520
"Muskoka","    Born in province of residence",47090,45890,395,40
"Niagara","    Born in province of residence",308840,286465,7835,770
"Nipissing","    Born in province of residence",70780,50995,17850,805
"Northumberland","    Born in province of residence",63320,61845,370,40
"Ottawa","    Born in province of residence",454220,344915,74140,5260
"Oxford","    Born in province of residence",84330,81005,480,60
"Parry Sound","    Born in province of residence",34455,33015,825,60
"Peel","    Born in province of residence",509955,409110,3895,1080
"Perth","    Born in province of residence",62515,59190,220,20
"Peterborough","    Born in province of residence",109090,106430,610,215
"Prescott and Russell","    Born in province of residence",59440,15850,42190,900
"Prince Edward","    Born in province of residence",20235,19805,140,60
"Rainy River","    Born in province of residence",16805,15630,145,0
"Renfrew","    Born in province of residence",75625,70670,2425,290
"Simcoe","    Born in province of residence",326505,310815,6835,770
"Stormont, Dundas and Glengarry","    Born in province of residence",83665,62685,18705,1145
"Sudbury","    Born in province of residence",18440,13050,4850,195
"Thunder Bay","    Born in province of residence",115955,105610,3135,280
"Timiskaming","    Born in province of residence",27890,21185,5935,365
"Toronto","    Born in province of residence",1022285,832880,8625,2700
"Waterloo","    Born in province of residence",321355,292470,2905,515
"Wellington","    Born in province of residence",147425,137465,1020,225
"York","    Born in province of residence",455810,376970,2480,875
