"","Characteristics","Total","English","French","English.and.French"
"Algoma","    Born outside province of residence",8995,5950,2595,90
"Brant","    Born outside province of residence",9135,8005,540,50
"Bruce","    Born outside province of residence",3770,3445,190,15
"Chatham-Kent","    Born outside province of residence",4745,3625,835,40
"Cochrane","    Born outside province of residence",9570,2830,6415,75
"Dufferin","    Born outside province of residence",4420,3945,285,50
"Durham","    Born outside province of residence",47705,40630,5100,275
"Elgin","    Born outside province of residence",5150,4125,385,50
"Essex","    Born outside province of residence",18205,13405,2980,120
"Frontenac","    Born outside province of residence",20620,17505,2285,160
"Greater Sudbury","    Born outside province of residence",14120,8135,5350,95
"Grey","    Born outside province of residence",5610,5015,360,45
"Haldimand-Norfolk","    Born outside province of residence",5650,4745,475,55
"Haliburton","    Born outside province of residence",1150,975,110,0
"Halton","    Born outside province of residence",50290,43375,4250,265
"Hamilton","    Born outside province of residence",34210,28440,3035,275
"Hastings","    Born outside province of residence",15540,12915,2155,80
"Huron","    Born outside province of residence",2825,2555,130,20
"Kawartha Lakes","    Born outside province of residence",5095,4640,285,25
"Kenora","    Born outside province of residence",12515,10115,905,25
"Lambton","    Born outside province of residence",8855,7270,1210,90
"Lanark","    Born outside province of residence",7895,6910,835,30
"Leeds and Grenville","    Born outside province of residence",11785,10220,1205,55
"Lennox and Addington","    Born outside province of residence",3755,3220,450,20
"Manitoulin","    Born outside province of residence",635,510,90,10
"Middlesex","    Born outside province of residence",32425,28655,2045,125
"Muskoka","    Born outside province of residence",4240,3715,340,25
"Niagara","    Born outside province of residence",33800,25365,5605,315
"Nipissing","    Born outside province of residence",8350,5415,2750,65
"Northumberland","    Born outside province of residence",6915,6215,510,30
"Ottawa","    Born outside province of residence",160620,114005,37840,1580
"Oxford","    Born outside province of residence",5825,4875,545,35
"Parry Sound","    Born outside province of residence",2790,2325,325,10
"Peel","    Born outside province of residence",71925,58820,5615,435
"Perth","    Born outside province of residence",3885,3475,185,15
"Peterborough","    Born outside province of residence",9440,8410,730,60
"Prescott and Russell","    Born outside province of residence",15960,5825,9650,125
"Prince Edward","    Born outside province of residence",2275,2030,170,30
"Rainy River","    Born outside province of residence",2840,2365,175,20
"Renfrew","    Born outside province of residence",14750,11915,2415,150
"Simcoe","    Born outside province of residence",37550,32730,3710,250
"Stormont, Dundas and Glengarry","    Born outside province of residence",16770,10985,5035,255
"Sudbury","    Born outside province of residence",2005,975,945,15
"Thunder Bay","    Born outside province of residence",16650,12980,2595,65
"Timiskaming","    Born outside province of residence",3525,1400,2060,35
"Toronto","    Born outside province of residence",161950,133320,12870,1125
"Waterloo","    Born outside province of residence",42440,37320,2810,190
"Wellington","    Born outside province of residence",16460,14550,1200,65
"York","    Born outside province of residence",43835,35695,3055,230
