"","Characteristics","Total","English","French","English.and.French"
"Algoma","    Caribbean and Bermuda",115,90,15,0
"Brant","    Caribbean and Bermuda",560,545,0,0
"Bruce","    Caribbean and Bermuda",90,90,0,0
"Chatham-Kent","    Caribbean and Bermuda",115,110,0,0
"Cochrane","    Caribbean and Bermuda",85,40,20,0
"Dufferin","    Caribbean and Bermuda",310,295,0,0
"Durham","    Caribbean and Bermuda",17505,16925,90,10
"Elgin","    Caribbean and Bermuda",145,130,0,0
"Essex","    Caribbean and Bermuda",1160,1005,20,0
"Frontenac","    Caribbean and Bermuda",370,340,10,0
"Greater Sudbury","    Caribbean and Bermuda",200,190,10,0
"Grey","    Caribbean and Bermuda",165,160,0,0
"Haldimand-Norfolk","    Caribbean and Bermuda",215,205,0,0
"Haliburton","    Caribbean and Bermuda",25,25,0,0
"Halton","    Caribbean and Bermuda",4485,4210,20,10
"Hamilton","    Caribbean and Bermuda",4685,4245,10,10
"Hastings","    Caribbean and Bermuda",275,260,0,0
"Huron","    Caribbean and Bermuda",80,80,0,0
"Kawartha Lakes","    Caribbean and Bermuda",120,120,0,0
"Kenora","    Caribbean and Bermuda",15,15,0,0
"Lambton","    Caribbean and Bermuda",295,255,10,0
"Lanark","    Caribbean and Bermuda",65,65,0,0
"Leeds and Grenville","    Caribbean and Bermuda",140,125,0,0
"Lennox and Addington","    Caribbean and Bermuda",80,80,0,0
"Manitoulin","    Caribbean and Bermuda",0,0,0,0
"Middlesex","    Caribbean and Bermuda",2190,1915,20,0
"Muskoka","    Caribbean and Bermuda",100,95,0,0
"Niagara","    Caribbean and Bermuda",1605,1225,15,0
"Nipissing","    Caribbean and Bermuda",55,45,0,0
"Northumberland","    Caribbean and Bermuda",210,195,0,0
"Ottawa","    Caribbean and Bermuda",10680,6075,1835,65
"Oxford","    Caribbean and Bermuda",190,175,0,0
"Parry Sound","    Caribbean and Bermuda",25,25,0,0
"Peel","    Caribbean and Bermuda",52330,50450,125,45
"Perth","    Caribbean and Bermuda",85,75,0,0
"Peterborough","    Caribbean and Bermuda",275,230,0,0
"Prescott and Russell","    Caribbean and Bermuda",135,90,10,0
"Prince Edward","    Caribbean and Bermuda",20,20,0,0
"Rainy River","    Caribbean and Bermuda",0,0,0,0
"Renfrew","    Caribbean and Bermuda",175,160,0,0
"Simcoe","    Caribbean and Bermuda",1820,1720,0,0
"Stormont, Dundas and Glengarry","    Caribbean and Bermuda",160,80,25,0
"Sudbury","    Caribbean and Bermuda",20,15,0,0
"Thunder Bay","    Caribbean and Bermuda",90,65,10,0
"Timiskaming","    Caribbean and Bermuda",15,10,0,0
"Toronto","    Caribbean and Bermuda",90980,85180,535,110
"Waterloo","    Caribbean and Bermuda",3355,3060,10,10
"Wellington","    Caribbean and Bermuda",815,730,0,0
"York","    Caribbean and Bermuda",14740,13925,115,10
