"","Characteristics","Total","English","French","English.and.French"
"Algoma","    Central America",80,15,0,0
"Brant","    Central America",270,25,0,0
"Bruce","    Central America",35,20,0,0
"Chatham-Kent","    Central America",1680,80,0,0
"Cochrane","    Central America",0,0,0,0
"Dufferin","    Central America",50,0,0,0
"Durham","    Central America",895,90,0,0
"Elgin","    Central America",3360,100,0,0
"Essex","    Central America",5690,230,0,0
"Frontenac","    Central America",315,10,0,0
"Greater Sudbury","    Central America",105,20,0,0
"Grey","    Central America",55,0,0,0
"Haldimand-Norfolk","    Central America",1690,30,0,0
"Haliburton","    Central America",15,0,0,0
"Halton","    Central America",1025,140,0,0
"Hamilton","    Central America",2685,225,20,0
"Hastings","    Central America",250,0,0,0
"Huron","    Central America",125,60,0,0
"Kawartha Lakes","    Central America",20,0,0,0
"Kenora","    Central America",45,0,0,0
"Lambton","    Central America",255,25,0,0
"Lanark","    Central America",60,30,0,0
"Leeds and Grenville","    Central America",45,0,0,0
"Lennox and Addington","    Central America",0,0,0,0
"Manitoulin","    Central America",0,0,0,0
"Middlesex","    Central America",3375,195,40,0
"Muskoka","    Central America",10,10,0,0
"Niagara","    Central America",1515,155,0,0
"Nipissing","    Central America",15,10,0,0
"Northumberland","    Central America",30,15,0,0
"Ottawa","    Central America",3605,195,20,10
"Oxford","    Central America",340,30,0,0
"Parry Sound","    Central America",15,0,0,0
"Peel","    Central America",4745,315,0,0
"Perth","    Central America",415,25,0,0
"Peterborough","    Central America",90,0,10,0
"Prescott and Russell","    Central America",30,0,0,0
"Prince Edward","    Central America",10,0,0,0
"Rainy River","    Central America",60,15,0,0
"Renfrew","    Central America",40,10,0,0
"Simcoe","    Central America",575,110,0,0
"Stormont, Dundas and Glengarry","    Central America",35,0,0,0
"Sudbury","    Central America",15,0,0,0
"Thunder Bay","    Central America",115,0,0,0
"Timiskaming","    Central America",0,0,0,0
"Toronto","    Central America",18820,1345,10,20
"Waterloo","    Central America",3635,195,10,0
"Wellington","    Central America",905,80,0,0
"York","    Central America",1785,130,0,0
