"","Characteristics","Total","English","French","English.and.French"
"Algoma","    Europe",9230,2400,45,0
"Brant","    Europe",10825,4530,75,0
"Bruce","    Europe",4095,2345,15,0
"Chatham-Kent","    Europe",6360,1845,120,0
"Cochrane","    Europe",2005,535,70,0
"Dufferin","    Europe",5290,2995,10,0
"Durham","    Europe",52715,26715,320,10
"Elgin","    Europe",5740,2100,50,10
"Essex","    Europe",39815,8630,370,10
"Frontenac","    Europe",10715,5155,120,10
"Greater Sudbury","    Europe",7815,1890,95,0
"Grey","    Europe",5990,2965,40,0
"Haldimand-Norfolk","    Europe",8575,3440,180,10
"Haliburton","    Europe",1245,630,0,0
"Halton","    Europe",61280,28270,610,20
"Hamilton","    Europe",76510,20410,275,30
"Hastings","    Europe",6975,3905,90,0
"Huron","    Europe",3755,1620,15,0
"Kawartha Lakes","    Europe",4875,2695,10,15
"Kenora","    Europe",1790,595,15,0
"Lambton","    Europe",10165,4820,35,0
"Lanark","    Europe",3130,1945,30,0
"Leeds and Grenville","    Europe",5545,3135,70,10
"Lennox and Addington","    Europe",1895,1115,15,0
"Manitoulin","    Europe",450,205,0,0
"Middlesex","    Europe",46190,16095,385,20
"Muskoka","    Europe",3755,1910,30,0
"Niagara","    Europe",50670,18280,380,20
"Nipissing","    Europe",2825,1095,30,0
"Northumberland","    Europe",6820,4310,30,10
"Ottawa","    Europe",58745,21460,2500,75
"Oxford","    Europe",8375,3010,85,0
"Parry Sound","    Europe",2530,1105,20,0
"Peel","    Europe",148860,34945,890,55
"Perth","    Europe",4935,1995,35,0
"Peterborough","    Europe",8885,4850,85,0
"Prescott and Russell","    Europe",2040,675,190,20
"Prince Edward","    Europe",1910,1135,25,10
"Rainy River","    Europe",695,315,0,0
"Renfrew","    Europe",3945,2030,55,0
"Simcoe","    Europe",37825,17515,270,20
"Stormont, Dundas and Glengarry","    Europe",4730,1740,200,10
"Sudbury","    Europe",600,195,0,0
"Thunder Bay","    Europe",10875,2425,85,0
"Timiskaming","    Europe",1040,425,15,0
"Toronto","    Europe",357380,68530,3860,360
"Waterloo","    Europe",58185,15085,380,25
"Wellington","    Europe",19550,8195,95,10
"York","    Europe",119745,22865,870,80
