"","Characteristics","Total","English","French","English.and.French"
"Algoma","    Oceania and other",60,60,0,0
"Brant","    Oceania and other",50,40,0,0
"Bruce","    Oceania and other",65,65,0,0
"Chatham-Kent","    Oceania and other",20,10,0,0
"Cochrane","    Oceania and other",15,15,0,0
"Dufferin","    Oceania and other",55,35,0,0
"Durham","    Oceania and other",650,520,0,0
"Elgin","    Oceania and other",75,60,0,0
"Essex","    Oceania and other",300,170,10,0
"Frontenac","    Oceania and other",150,145,0,0
"Greater Sudbury","    Oceania and other",50,35,0,0
"Grey","    Oceania and other",70,70,0,0
"Haldimand-Norfolk","    Oceania and other",30,10,0,0
"Haliburton","    Oceania and other",25,30,0,0
"Halton","    Oceania and other",695,615,0,0
"Hamilton","    Oceania and other",485,355,0,0
"Hastings","    Oceania and other",85,80,0,0
"Huron","    Oceania and other",50,35,0,0
"Kawartha Lakes","    Oceania and other",50,50,0,0
"Kenora","    Oceania and other",30,25,0,0
"Lambton","    Oceania and other",115,110,0,0
"Lanark","    Oceania and other",70,75,0,0
"Leeds and Grenville","    Oceania and other",65,55,0,0
"Lennox and Addington","    Oceania and other",15,10,0,0
"Manitoulin","    Oceania and other",10,10,0,0
"Middlesex","    Oceania and other",710,360,20,0
"Muskoka","    Oceania and other",55,45,0,0
"Niagara","    Oceania and other",435,370,0,0
"Nipissing","    Oceania and other",80,70,0,0
"Northumberland","    Oceania and other",75,50,0,0
"Ottawa","    Oceania and other",890,730,35,0
"Oxford","    Oceania and other",80,50,0,0
"Parry Sound","    Oceania and other",10,10,0,0
"Peel","    Oceania and other",2150,955,10,0
"Perth","    Oceania and other",75,75,0,0
"Peterborough","    Oceania and other",125,120,0,0
"Prescott and Russell","    Oceania and other",15,15,0,0
"Prince Edward","    Oceania and other",45,45,0,0
"Rainy River","    Oceania and other",15,10,0,0
"Renfrew","    Oceania and other",75,70,0,0
"Simcoe","    Oceania and other",375,290,10,0
"Stormont, Dundas and Glengarry","    Oceania and other",65,60,10,0
"Sudbury","    Oceania and other",0,0,0,0
"Thunder Bay","    Oceania and other",65,50,0,0
"Timiskaming","    Oceania and other",0,0,0,0
"Toronto","    Oceania and other",4425,2785,25,10
"Waterloo","    Oceania and other",505,410,20,0
"Wellington","    Oceania and other",265,220,0,0
"York","    Oceania and other",1225,635,10,0
