"","Characteristics","Total","English","French","English.and.French"
"Algoma","    South America",135,65,0,0
"Brant","    South America",250,95,0,0
"Bruce","    South America",20,0,0,0
"Chatham-Kent","    South America",175,40,0,0
"Cochrane","    South America",30,0,0,0
"Dufferin","    South America",190,90,0,0
"Durham","    South America",8380,6385,15,0
"Elgin","    South America",335,55,0,0
"Essex","    South America",1340,205,15,0
"Frontenac","    South America",390,135,0,0
"Greater Sudbury","    South America",125,45,0,0
"Grey","    South America",85,40,0,0
"Haldimand-Norfolk","    South America",110,30,0,0
"Haliburton","    South America",10,10,0,0
"Halton","    South America",4205,1115,10,0
"Hamilton","    South America",2750,1170,0,10
"Hastings","    South America",145,95,0,0
"Huron","    South America",35,20,0,0
"Kawartha Lakes","    South America",110,65,0,0
"Kenora","    South America",30,15,0,0
"Lambton","    South America",215,85,0,0
"Lanark","    South America",65,40,0,0
"Leeds and Grenville","    South America",80,60,0,0
"Lennox and Addington","    South America",30,25,0,0
"Manitoulin","    South America",0,0,0,0
"Middlesex","    South America",3430,530,15,0
"Muskoka","    South America",70,30,0,0
"Niagara","    South America",2830,585,0,0
"Nipissing","    South America",45,25,0,10
"Northumberland","    South America",175,125,0,10
"Ottawa","    South America",4935,1675,40,0
"Oxford","    South America",115,65,0,0
"Parry Sound","    South America",15,0,0,0
"Peel","    South America",32160,18680,35,20
"Perth","    South America",150,20,0,0
"Peterborough","    South America",215,75,0,0
"Prescott and Russell","    South America",95,45,10,0
"Prince Edward","    South America",10,0,0,0
"Rainy River","    South America",0,0,0,0
"Renfrew","    South America",90,50,0,0
"Simcoe","    South America",1365,540,0,0
"Stormont, Dundas and Glengarry","    South America",90,45,0,0
"Sudbury","    South America",0,0,0,0
"Thunder Bay","    South America",140,55,0,0
"Timiskaming","    South America",15,15,0,0
"Toronto","    South America",73980,40700,120,10
"Waterloo","    South America",4475,2560,0,0
"Wellington","    South America",755,240,0,0
"York","    South America",13300,6475,25,15
