"","Characteristics","Total","English","French","English.and.French"
"Algoma","    United States of America",1095,1080,10,0
"Brant","    United States of America",1010,1000,0,0
"Bruce","    United States of America",485,460,10,0
"Chatham-Kent","    United States of America",1035,970,0,10
"Cochrane","    United States of America",185,170,20,0
"Dufferin","    United States of America",380,380,0,0
"Durham","    United States of America",3685,3505,40,0
"Elgin","    United States of America",695,605,0,0
"Essex","    United States of America",7635,6915,45,20
"Frontenac","    United States of America",1540,1480,20,0
"Greater Sudbury","    United States of America",630,545,45,0
"Grey","    United States of America",770,655,0,0
"Haldimand-Norfolk","    United States of America",710,690,0,0
"Haliburton","    United States of America",110,110,0,0
"Halton","    United States of America",4960,4630,25,0
"Hamilton","    United States of America",3990,3645,20,10
"Hastings","    United States of America",820,795,10,0
"Huron","    United States of America",320,270,0,0
"Kawartha Lakes","    United States of America",285,275,0,0
"Kenora","    United States of America",720,655,10,0
"Lambton","    United States of America",1705,1660,0,0
"Lanark","    United States of America",530,520,10,0
"Leeds and Grenville","    United States of America",1105,1065,20,0
"Lennox and Addington","    United States of America",260,265,0,0
"Manitoulin","    United States of America",180,180,0,0
"Middlesex","    United States of America",3990,3505,15,10
"Muskoka","    United States of America",520,505,0,0
"Niagara","    United States of America",6450,6060,45,0
"Nipissing","    United States of America",610,570,30,0
"Northumberland","    United States of America",550,525,0,0
"Ottawa","    United States of America",7865,6665,490,60
"Oxford","    United States of America",745,670,0,0
"Parry Sound","    United States of America",355,340,0,0
"Peel","    United States of America",7460,5670,30,25
"Perth","    United States of America",530,495,0,0
"Peterborough","    United States of America",1130,1115,0,0
"Prescott and Russell","    United States of America",315,290,30,0
"Prince Edward","    United States of America",205,205,0,0
"Rainy River","    United States of America",780,770,0,0
"Renfrew","    United States of America",715,695,0,0
"Simcoe","    United States of America",2745,2585,25,20
"Stormont, Dundas and Glengarry","    United States of America",850,750,75,0
"Sudbury","    United States of America",60,60,0,0
"Thunder Bay","    United States of America",1180,1150,10,0
"Timiskaming","    United States of America",145,130,10,0
"Toronto","    United States of America",22635,19685,180,40
"Waterloo","    United States of America",3900,3410,20,10
"Wellington","    United States of America",1585,1490,15,0
"York","    United States of America",6230,5325,10,25
