"","Characteristics","Total","English","French","English.and.French"
"Algoma","  Immigrants",11230,3845,70,0
"Brant","  Immigrants",15960,6695,90,10
"Bruce","  Immigrants",5265,3060,20,0
"Chatham-Kent","  Immigrants",10830,3240,130,10
"Cochrane","  Immigrants",2605,815,105,15
"Dufferin","  Immigrants",6925,4025,20,0
"Durham","  Immigrants",113395,60845,795,40
"Elgin","  Immigrants",11155,3305,55,10
"Essex","  Immigrants",87170,21085,820,70
"Frontenac","  Immigrants",17935,8145,195,15
"Greater Sudbury","  Immigrants",10450,2995,260,0
"Grey","  Immigrants",7830,4130,65,0
"Haldimand-Norfolk","  Immigrants",11860,4565,195,0
"Haliburton","  Immigrants",1485,825,10,0
"Halton","  Immigrants",107920,46245,1010,60
"Hamilton","  Immigrants",126485,34735,735,135
"Hastings","  Immigrants",10280,5495,100,0
"Huron","  Immigrants",4665,2180,15,0
"Kawartha Lakes","  Immigrants",6005,3380,15,10
"Kenora","  Immigrants",2835,1350,25,0
"Lambton","  Immigrants",14700,7325,105,10
"Lanark","  Immigrants",4435,2835,55,0
"Leeds and Grenville","  Immigrants",7795,4595,110,15
"Lennox and Addington","  Immigrants",2495,1535,15,0
"Manitoulin","  Immigrants",645,400,0,0
"Middlesex","  Immigrants",83450,25615,680,95
"Muskoka","  Immigrants",4745,2655,35,0
"Niagara","  Immigrants",75835,28800,595,30
"Nipissing","  Immigrants",4290,1975,65,0
"Northumberland","  Immigrants",8725,5505,50,20
"Ottawa","  Immigrants",178545,47610,8835,525
"Oxford","  Immigrants",11105,4260,90,0
"Parry Sound","  Immigrants",3095,1520,25,0
"Peel","  Immigrants",561240,157605,3095,660
"Perth","  Immigrants",6930,2785,35,0
"Peterborough","  Immigrants",12450,6760,130,0
"Prescott and Russell","  Immigrants",3265,1200,310,25
"Prince Edward","  Immigrants",2365,1465,25,10
"Rainy River","  Immigrants",1575,1115,0,0
"Renfrew","  Immigrants",5835,3165,75,0
"Simcoe","  Immigrants",51335,24355,340,70
"Stormont, Dundas and Glengarry","  Immigrants",7965,2960,355,20
"Sudbury","  Immigrants",790,300,10,0
"Thunder Bay","  Immigrants",14110,3970,120,0
"Timiskaming","  Immigrants",1340,630,25,0
"Toronto","  Immigrants",1237720,298195,9780,1400
"Waterloo","  Immigrants",105375,28390,635,90
"Wellington","  Immigrants",33740,12365,150,10
"York","  Immigrants",380530,73250,2750,410
