"","Characteristics","Total","English","French","English.and.French"
"Algoma","  Non-immigrants",104445,91635,7955,585
"Brant","  Non-immigrants",106975,101915,1235,110
"Bruce","  Non-immigrants",59180,56435,530,55
"Chatham-Kent","  Non-immigrants",95900,89915,2755,335
"Cochrane","  Non-immigrants",78780,35830,38010,1105
"Dufferin","  Non-immigrants",46835,45205,575,90
"Durham","  Non-immigrants",442085,414335,9175,1045
"Elgin","  Non-immigrants",72605,68115,755,85
"Essex","  Non-immigrants",296670,263435,11865,1235
"Frontenac","  Non-immigrants",121675,114460,3840,350
"Greater Sudbury","  Non-immigrants",145210,96520,42710,1690
"Grey","  Non-immigrants",82880,79515,730,170
"Haldimand-Norfolk","  Non-immigrants",94355,89400,960,95
"Haliburton","  Non-immigrants",14485,13915,245,15
"Halton","  Non-immigrants",324320,297625,7215,725
"Hamilton","  Non-immigrants",366315,332285,5885,805
"Hastings","  Non-immigrants",118065,113125,2925,225
"Huron","  Non-immigrants",53690,51125,370,85
"Kawartha Lakes","  Non-immigrants",67265,65270,740,105
"Kenora","  Non-immigrants",60935,45495,1440,105
"Lambton","  Non-immigrants",111480,105905,2725,320
"Lanark","  Non-immigrants",58180,54910,2345,240
"Leeds and Grenville","  Non-immigrants",89725,85145,2870,280
"Lennox and Addington","  Non-immigrants",36760,35670,675,50
"Manitoulin","  Non-immigrants",12300,10475,380,15
"Middlesex","  Non-immigrants",330030,308750,5080,645
"Muskoka","  Non-immigrants",51330,49605,735,65
"Niagara","  Non-immigrants",342645,311825,13435,1085
"Nipissing","  Non-immigrants",79140,56410,20595,865
"Northumberland","  Non-immigrants",70235,68065,880,65
"Ottawa","  Non-immigrants",614840,458925,111980,6840
"Oxford","  Non-immigrants",90155,85880,1025,100
"Parry Sound","  Non-immigrants",37245,35335,1155,70
"Peel","  Non-immigrants",581880,467935,9505,1515
"Perth","  Non-immigrants",66405,62655,410,35
"Peterborough","  Non-immigrants",118530,114840,1340,270
"Prescott and Russell","  Non-immigrants",75400,21675,51845,1020
"Prince Edward","  Non-immigrants",22515,21830,310,90
"Rainy River","  Non-immigrants",19650,17995,320,25
"Renfrew","  Non-immigrants",90380,82585,4840,435
"Simcoe","  Non-immigrants",364055,343550,10540,1020
"Stormont, Dundas and Glengarry","  Non-immigrants",100440,73670,23740,1400
"Sudbury","  Non-immigrants",20455,14030,5795,210
"Thunder Bay","  Non-immigrants",132605,118590,5725,340
"Timiskaming","  Non-immigrants",31420,22585,7995,395
"Toronto","  Non-immigrants",1184230,966200,21500,3820
"Waterloo","  Non-immigrants",363790,329790,5715,710
"Wellington","  Non-immigrants",163880,152015,2225,290
"York","  Non-immigrants",499645,412665,5530,1110
