"","Characteristics","Total","English","French","English.and.French"
"Algoma","Total population by immigrant status and place of birth",116080,95730,8025,585
"Brant","Total population by immigrant status and place of birth",123320,108755,1330,120
"Bruce","Total population by immigrant status and place of birth",64555,59580,545,55
"Chatham-Kent","Total population by immigrant status and place of birth",107150,93405,2885,345
"Cochrane","Total population by immigrant status and place of birth",81465,36660,38115,1130
"Dufferin","Total population by immigrant status and place of birth",53920,49360,595,90
"Durham","Total population by immigrant status and place of birth",557330,476080,10040,1080
"Elgin","Total population by immigrant status and place of birth",84255,71625,805,90
"Essex","Total population by immigrant status and place of birth",389585,286100,12730,1315
"Frontenac","Total population by immigrant status and place of birth",140655,122955,4095,365
"Greater Sudbury","Total population by immigrant status and place of birth",156045,99620,42985,1695
"Grey","Total population by immigrant status and place of birth",90900,83785,795,165
"Haldimand-Norfolk","Total population by immigrant status and place of birth",106605,94200,1160,105
"Haliburton","Total population by immigrant status and place of birth",16000,14765,250,10
"Halton","Total population by immigrant status and place of birth",435395,345590,8265,790
"Hamilton","Total population by immigrant status and place of birth",497400,368075,6695,945
"Hastings","Total population by immigrant status and place of birth",128795,118835,3025,235
"Huron","Total population by immigrant status and place of birth",58590,53485,380,85
"Kawartha Lakes","Total population by immigrant status and place of birth",73365,68735,750,120
"Kenora","Total population by immigrant status and place of birth",64000,47000,1465,100
"Lambton","Total population by immigrant status and place of birth",126540,113450,2830,330
"Lanark","Total population by immigrant status and place of birth",62695,57820,2395,250
"Leeds and Grenville","Total population by immigrant status and place of birth",97680,89850,2980,295
"Lennox and Addington","Total population by immigrant status and place of birth",39275,37220,695,50
"Manitoulin","Total population by immigrant status and place of birth",12940,10875,380,15
"Middlesex","Total population by immigrant status and place of birth",417675,335315,5825,740
"Muskoka","Total population by immigrant status and place of birth",56275,52390,770,65
"Niagara","Total population by immigrant status and place of birth",421750,341670,14075,1115
"Nipissing","Total population by immigrant status and place of birth",83605,58550,20660,870
"Northumberland","Total population by immigrant status and place of birth",79075,73660,930,85
"Ottawa","Total population by immigrant status and place of birth",801270,508360,121395,7380
"Oxford","Total population by immigrant status and place of birth",101460,90205,1115,95
"Parry Sound","Total population by immigrant status and place of birth",40415,36900,1180,70
"Peel","Total population by immigrant status and place of birth",1154070,628390,12725,2200
"Perth","Total population by immigrant status and place of birth",73425,65515,440,35
"Peterborough","Total population by immigrant status and place of birth",131525,121890,1470,280
"Prescott and Russell","Total population by immigrant status and place of birth",78745,22900,52155,1050
"Prince Edward","Total population by immigrant status and place of birth",24935,23320,335,100
"Rainy River","Total population by immigrant status and place of birth",21270,19155,330,20
"Renfrew","Total population by immigrant status and place of birth",96330,85815,4920,440
"Simcoe","Total population by immigrant status and place of birth",417000,368525,10875,1095
"Stormont, Dundas and Glengarry","Total population by immigrant status and place of birth",108580,76730,24090,1415
"Sudbury","Total population by immigrant status and place of birth",21260,14345,5800,205
"Thunder Bay","Total population by immigrant status and place of birth",147105,122800,5845,345
"Timiskaming","Total population by immigrant status and place of birth",32795,23245,8020,395
"Toronto","Total population by immigrant status and place of birth",2476565,1277265,32310,5295
"Waterloo","Total population by immigrant status and place of birth",473260,359200,6410,795
"Wellington","Total population by immigrant status and place of birth",198630,164670,2380,295
"York","Total population by immigrant status and place of birth",887345,487610,8315,1520
