"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Durham"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [1]","  English","  French","  English and French", 
"Total population by age groups [2]",557330,476080,10040,1080 
"  0 to 4 years",32505,29760,385,175 
"  5 to 9 years",37675,34965,325,85 
"  10 to 14 years",44870,41540,410,100 
"  15 to 19 years",43365,39760,530,105 
"  20 to 24 years",35075,31800,335,55 
"  25 to 29 years",30605,26780,495,80 
"  30 to 34 years",34580,29545,680,65 
"  35 to 39 years",41625,34275,995,80 
"  40 to 44 years",53150,43930,1065,70 
"  45 to 49 years",49420,41295,1110,60 
"  50 to 54 years",39995,32900,910,55 
"  55 to 59 years",33760,27605,920,30 
"  60 to 64 years",23185,18470,635,30 
"  65 to 69 years",17495,13330,450,0 
"  70 to 74 years",14800,11015,290,25 
"  75 to 79 years",12620,9570,265,20 
"  80 to 84 years",7865,5695,175,15 
"  85 years and over",4735,3835,65,15 
"Median age [3]",37.4,35.6,44.2,25.6 
"Total population 15 years and over by legal marital status [4]",442285,369815,8915,715 
"  Never legally married (single)",135965,122935,2250,320 
"  Legally married (and not separated) [5]",237330,188585,5120,255 
"  Separated, but still legally married",16745,14915,350,60 
"  Divorced",31195,27015,805,35 
"  Widowed",21050,16370,400,50 
"Total population 15 years and over by common-law status [6]",442285,369820,8915,715 
"  Not in a common-law relationship",408085,339160,7885,650 
"  In a common-law relationship",34200,30660,1035,65 
"Total population by knowledge of official languages [7]",557330,476080,10040,1075 
"  English only",513420,449535,540,205 
"  French only",555,35,465,10 
"  English and French",40590,26415,9035,870 
"  Neither English nor French",2770,95,0,0 
"Total population by first official language spoken [8]",557330,476085,10040,1075 
"  English",543575,476045,545,820 
"  French",9775,35,9500,85 
"  English and French",1320,0,0,180 
"  Neither English nor French",2655,0,0,0 
"Official language minority - (number) [9]",10435,40,9495,170 
"Official language minority - (percentage) [10]",1.9,0.0,94.6,15.8 
"Total population by language spoken most often at home [11]",557330,476080,10040,1080 
"  Single responses",550535,474120,9700,885 
"    English",519155,472830,5870,810 
"    French",4220,265,3755,80 
"    Non-official languages",27160,1030,80,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",1680,40,0,0 
"      Portuguese",845,10,0,0 
"      Romanian",630,0,10,0 
"      Spanish",1595,110,0,0 
"      Danish",10,0,0,0 
"      Dutch",210,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",505,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",60,0,0,0 
"      Croatian",175,0,0,0 
"      Czech",70,0,0,0 
"      Macedonian",605,20,0,0 
"      Polish",2350,15,10,0 
"      Russian",590,10,0,0 
"      Serbian",315,0,0,0 
"      Serbo-Croatian",25,0,0,0 
"      Slovak",25,0,0,0 
"      Slovenian",30,0,0,0 
"      Ukrainian",640,20,0,0 
"      Latvian",20,0,0,0 
"      Lithuanian",25,0,0,0 
"      Estonian",20,0,0,0 
"      Finnish",100,0,0,0 
"      Hungarian",450,0,0,0 
"      Greek",770,35,0,0 
"      Armenian",225,0,0,0 
"      Turkish",150,0,0,0 
"      Amharic",55,0,0,0 
"      Arabic",1130,50,25,0 
"      Hebrew",0,0,0,0 
"      Maltese",10,0,0,0 
"      Somali",10,10,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",230,20,0,0 
"      Gujarati",535,25,0,0 
"      Hindi",440,20,0,0 
"      Kurdish",35,0,0,0 
"      Panjabi (Punjabi)",805,40,0,0 
"      Pashto",40,0,0,0 
"      Persian (Farsi)",1545,15,0,0 
"      Sindhi",110,0,0,0 
"      Sinhala (Sinhalese)",35,0,0,0 
"      Urdu",1985,140,0,0 
"      Malayalam",85,0,0,0 
"      Tamil",1285,30,0,0 
"      Telugu",20,0,0,0 
"      Japanese",80,15,0,0 
"      Korean",785,35,10,0 
"      Cantonese",1180,25,0,0 
"      Chinese, n.o.s. [12]",1270,10,0,0 
"      Mandarin",425,30,0,0 
"      Taiwanese",15,0,0,0 
"      Lao",35,0,0,0 
"      Khmer (Cambodian)",30,0,0,0 
"      Vietnamese",525,25,0,0 
"      Bisayan languages",45,0,0,0 
"      Ilocano",40,0,0,0 
"      Malay",70,0,0,0 
"      Tagalog (Pilipino, Filipino)",1615,150,0,0 
"      Akan (Twi)",110,10,0,0 
"      Swahili",25,0,0,0 
"      Creoles",45,10,15,0 
"      Other languages [13]",390,100,0,0 
"  Multiple responses",6795,1965,335,190 
"    English and French",715,270,275,160 
"    English and non-official language",5950,1680,10,10 
"    French and non-official language",65,10,35,0 
"    English, French and non-official language",60,10,15,20 
"Total population by language spoken on a regular basis at home [14]",557330,476085,10040,1075 
"  None",516800,468520,5740,705 
"  Single responses",39890,7420,4240,345 
"    English",14900,590,2040,40 
"    French",5345,2815,2070,280 
"    Non-official languages",19650,4015,125,20 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",15,10,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",2040,505,10,0 
"      Portuguese",940,195,0,10 
"      Romanian",170,10,0,0 
"      Spanish",1450,385,0,0 
