"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Elgin"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [1]","  English","  French","  English and French", 
"Total population by age groups [2]",84260,71630,805,90 
"  0 to 4 years",5100,4430,0,10 
"  5 to 9 years",5540,4885,10,0 
"  10 to 14 years",6305,5585,0,10 
"  15 to 19 years",6320,5590,10,0 
"  20 to 24 years",4995,4405,15,0 
"  25 to 29 years",4475,3770,20,0 
"  30 to 34 years",5245,4385,35,15 
"  35 to 39 years",5765,4865,50,0 
"  40 to 44 years",6850,5920,145,0 
"  45 to 49 years",6580,5760,70,0 
"  50 to 54 years",5930,5160,85,10 
"  55 to 59 years",5650,4760,100,15 
"  60 to 64 years",4450,3515,115,10 
"  65 to 69 years",3515,2670,70,10 
"  70 to 74 years",2610,1950,25,10 
"  75 to 79 years",2145,1695,30,0 
"  80 to 84 years",1620,1285,25,10 
"  85 years and over",1175,995,0,0 
"Median age [3]",38.7,37.9,53.2,50.7 
"Total population 15 years and over by legal marital status [4]",67315,56730,800,75 
"  Never legally married (single)",18435,16615,95,10 
"  Legally married (and not separated) [5]",37150,29820,555,50 
"  Separated, but still legally married",2715,2450,25,0 
"  Divorced",4910,4485,50,10 
"  Widowed",4115,3365,75,0 
"Total population 15 years and over by common-law status [6]",67320,56730,800,75 
"  Not in a common-law relationship",61545,51330,745,65 
"  In a common-law relationship",5770,5400,60,10 
"Total population by knowledge of official languages [7]",84255,71625,805,90 
"  English only",79960,69125,80,30 
"  French only",20,0,10,0 
"  English and French",3525,2500,715,65 
"  Neither English nor French",755,0,0,0 
"Total population by first official language spoken [8]",84260,71625,805,90 
"  English",82725,71630,80,75 
"  French",740,0,725,10 
"  English and French",40,0,0,10 
"  Neither English nor French",755,0,0,0 
"Official language minority - (number) [9]",760,0,725,15 
"Official language minority - (percentage) [10]",0.9,0.0,90.1,16.7 
"Total population by language spoken most often at home [11]",84255,71630,810,90 
"  Single responses",83810,71500,800,85 
"    English",78885,71320,690,75 
"    French",125,10,110,10 
"    Non-official languages",4800,170,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",50,0,0,0 
"      Portuguese",135,0,0,0 
"      Romanian",20,0,0,0 
"      Spanish",125,10,0,0 
"      Danish",0,0,0,0 
"      Dutch",165,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",3240,40,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",135,10,0,0 
"      Czech",15,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",180,10,0,0 
"      Russian",0,0,0,0 
"      Serbian",20,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",10,0,0,0 
"      Slovenian",10,0,0,0 
"      Ukrainian",20,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",10,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",0,0,0,0 
"      Hungarian",40,10,0,0 
"      Greek",10,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",10,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",40,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",25,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",25,20,0,0 
"      Hindi",10,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",60,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",15,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",25,0,0,0 
"      Korean",110,40,0,0 
"      Cantonese",10,0,0,0 
"      Chinese, n.o.s. [12]",50,0,0,0 
"      Mandarin",0,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",10,0,0,0 
"      Khmer (Cambodian)",85,0,0,0 
"      Vietnamese",110,30,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",10,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",0,0,0,0 
"      Other languages [13]",15,0,0,0 
"  Multiple responses",450,130,10,0 
"    English and French",40,25,10,10 
"    English and non-official language",410,100,0,0 
"    French and non-official language",0,0,0,0 
"    English, French and non-official language",0,0,0,0 
"Total population by language spoken on a regular basis at home [14]",84260,71625,805,90 
"  None",79050,71030,515,70 
"  Single responses",5180,595,295,15 
"    English",2245,95,55,10 
"    French",475,205,235,15 
"    Non-official languages",2455,295,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
