"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Grey [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",90905,83790,795,165 
"  0 to 4 years",4170,3830,0,20 
"  5 to 9 years",5025,4815,0,10 
"  10 to 14 years",6015,5720,10,15 
"  15 to 19 years",6550,6170,40,0 
"  20 to 24 years",5110,4760,70,15 
"  25 to 29 years",3985,3765,10,15 
"  30 to 34 years",4245,4025,40,10 
"  35 to 39 years",5065,4790,25,10 
"  40 to 44 years",6655,6300,80,10 
"  45 to 49 years",7615,7030,70,15 
"  50 to 54 years",7235,6620,120,20 
"  55 to 59 years",7185,6585,55,10 
"  60 to 64 years",5980,5380,70,10 
"  65 to 69 years",4720,4135,85,15 
"  70 to 74 years",4340,3840,40,0 
"  75 to 79 years",3375,2810,30,0 
"  80 to 84 years",2050,1815,25,0 
"  85 years and over",1585,1405,15,0 
"Median age [4]",44.0,43.2,52.1,39.1 
"Total population 15 years and over by legal marital status [5]",75690,69420,775,115 
"  Never legally married (single)",20115,19020,180,25 
"  Legally married (and not separated) [6]",41975,37940,425,60 
"  Separated, but still legally married",2810,2650,15,0 
"  Divorced",5590,5165,55,30 
"  Widowed",5200,4650,105,0 
"Total population 15 years and over by common-law status [7]",75690,69420,770,115 
"  Not in a common-law relationship",69270,63420,705,70 
"  In a common-law relationship",6425,6000,70,50 
"Total population by knowledge of official languages [8]",90900,83790,795,165 
"  English only",85365,79725,75,65 
"  French only",30,0,25,0 
"  English and French",5260,4030,690,100 
"  Neither English nor French",250,30,0,0 
"Total population by first official language spoken [9]",90905,83790,795,170 
"  English",89855,83790,75,145 
"  French",720,0,715,0 
"  English and French",105,0,0,20 
"  Neither English nor French",220,0,0,0 
"Official language minority - (number) [10]",770,0,715,15 
"Official language minority - (percentage) [11]",0.8,0.0,89.9,8.8 
"Total population by language spoken most often at home [12]",90900,83790,790,165 
"  Single responses",90665,83765,760,140 
