"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Kenora [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",63995,46995,1465,105 
"  0 to 4 years",4645,3390,25,10 
"  5 to 9 years",5125,4110,55,10 
"  10 to 14 years",5360,4280,20,0 
"  15 to 19 years",5280,4190,15,0 
"  20 to 24 years",4275,3210,50,0 
"  25 to 29 years",3805,2700,60,10 
"  30 to 34 years",3750,2625,80,0 
"  35 to 39 years",4165,2850,110,20 
"  40 to 44 years",4990,3490,165,10 
"  45 to 49 years",5035,3805,105,10 
"  50 to 54 years",4310,3235,140,20 
"  55 to 59 years",3765,2820,135,10 
"  60 to 64 years",2680,1820,150,0 
"  65 to 69 years",2265,1525,130,0 
"  70 to 74 years",1735,1085,95,0 
"  75 to 79 years",1370,880,55,10 
"  80 to 84 years",835,565,60,0 
"  85 years and over",605,410,20,0 
"Median age [4]",34.7,33.2,51.8,36.5 
"Total population 15 years and over by legal marital status [5]",48860,35215,1365,85 
"  Never legally married (single)",18380,13275,210,25 
"  Legally married (and not separated) [6]",22810,16610,840,35 
"  Separated, but still legally married",2010,1255,75,10 
"  Divorced",2970,2450,120,15 
"  Widowed",2695,1635,110,0 
"Total population 15 years and over by common-law status [7]",48865,35220,1365,85 
"  Not in a common-law relationship",42010,30610,1160,75 
"  In a common-law relationship",6850,4610,200,10 
"Total population by knowledge of official languages [8]",63995,46995,1465,100 
"  English only",59505,44990,170,40 
"  French only",10,0,10,0 
"  English and French",3530,2000,1285,60 
"  Neither English nor French",955,0,0,0 
"Total population by first official language spoken [9]",63995,46995,1465,105 
"  English",61720,46995,170,85 
"  French",1295,0,1295,0 
"  English and French",30,0,0,15 
"  Neither English nor French",950,0,0,0 
"Official language minority - (number) [10]",1310,0,1295,0 
"Official language minority - (percentage) [11]",2.0,0.0,88.4,0.0 
"Total population by language spoken most often at home [12]",64000,46995,1465,105 
"  Single responses",63700,46960,1395,90 
"    English",54240,46740,1065,85 
"    French",335,10,325,0 
"    Non-official languages",9130,205,0,10 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",245,10,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",4590,95,0,0 
"      Oji-Cree",3675,55,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",25,0,10,0 
"      Portuguese",45,0,0,0 
"      Romanian",0,0,0,0 
"      Spanish",40,10,0,0 
"      Danish",0,0,0,0 
"      Dutch",0,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",210,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",0,0,0,0 
"      Czech",20,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",100,0,0,0 
"      Russian",0,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",0,0,0,0 
"      Ukrainian",35,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",10,0,0,0 
"      Hungarian",0,0,0,0 
"      Greek",0,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",35,25,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",0,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",0,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",10,0,0,0 
"      Cantonese",0,0,0,0 
"      Chinese, n.o.s. [13]",30,0,0,0 
"      Mandarin",0,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",0,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",25,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",10,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",10,10,0,0 
"      Other languages [14]",30,10,0,0 
"  Multiple responses",295,40,70,15 
"    English and French",90,0,70,15 
"    English and non-official language",205,40,0,0 
"    French and non-official language",0,0,0,0 
"    English, French and non-official language",0,0,0,0 
"Total population by language spoken on a regular basis at home [15]",63995,46995,1465,105 
"  None",53720,45990,1045,80 
"  Single responses",10235,1005,415,20 
"    English",5905,100,150,0 
"    French",430,140,265,20 
"    Non-official languages",3890,770,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",85,10,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",1440,395,0,0 
"      Oji-Cree",1780,260,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",120,25,0,0 
"      Portuguese",90,10,0,0 
"      Romanian",0,0,0,0 
"      Spanish",35,10,0,0 
"      Danish",0,0,0,0 
"      Dutch",10,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",150,15,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",10,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",0,0,0,0 
"      Czech",10,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",20,10,0,0 
"      Russian",0,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",0,0,0,0 
"      Ukrainian",20,15,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",0,0,0,0 
"      Hungarian",0,0,0,0 
"      Greek",0,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",50,10,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",25,0,0,0 
"      Hindi",0,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",0,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",0,0,0,0 
"      Cantonese",0,0,0,0 
"      Chinese, n.o.s. [16]",0,0,0,0 
"      Mandarin",0,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",0,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",10,10,0,0 
"      Tagalog (Pilipino, Filipino)",10,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",0,0,0,0 
"      Other languages [17]",20,10,0,0 
"  Multiple responses",40,10,10,0 
"    English and French",0,0,10,0 
"    English and non-official language",10,0,0,0 
"    French and non-official language",25,0,0,0 
"    English, French and non-official language",0,0,0,0 
"Algonquin - Various non-official languages spoken [18]",0,0,0,0 
"Atikamekw",0,0,0,0 
"Blackfoot",0,0,0,0 
"Carrier",0,0,0,0 
"Chilcotin",0,0,0,0 
"Chipewyan",0,0,0,0 
"Cree",505,60,0,0 
"Siouan languages (Dakota/Sioux)",0,0,0,0 
"Dene",0,0,0,0 
"Dogrib",0,0,0,0 
"Gitksan",0,0,0,0 
"Inuinnaqtun",0,0,0,0 
"Inuktitut, n.i.e.",10,0,0,0 
"Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"Malecite",0,0,0,0 
"Mi'kmaq",0,0,0,0 
"Mohawk",0,0,0,0 
"Montagnais-Naskapi",0,0,0,0 
"Nisga'a",0,0,0,0 
"North Slave (Hare)",0,0,0,0 
"Ojibway",7250,1015,0,0 
"Oji-Cree",6450,685,0,0 
"Shuswap",0,0,0,0 
"South Slave",0,0,0,0 
"Tlingit",0,0,0,0 
"Italian",320,75,0,0 
"Portuguese",170,20,0,0 
"Romanian",20,0,0,0 
"Spanish",250,135,15,0 
"Danish",10,0,0,0 
"Dutch",115,20,0,0 
"Flemish",10,0,0,0 
"Frisian",0,0,0,0 
"German",1020,185,0,0 
"Norwegian",20,10,0,0 
"Swedish",80,20,0,0 
"Yiddish",0,0,0,0 
"Bosnian",0,0,0,0 
"Bulgarian",0,0,0,0 
"Croatian",10,0,0,0 
"Czech",40,10,0,0 
"Macedonian",0,0,0,0 
"Polish",270,50,0,0 
"Russian",10,0,0,0 
"Serbian",0,0,0,0 
"Serbo-Croatian",0,0,0,0 
"Slovak",10,0,0,0 
"Slovenian",10,0,0,0 
"Ukrainian",460,110,0,10 
"Latvian",10,10,0,0 
"Lithuanian",15,0,0,0 
"Estonian",0,0,0,0 
"Finnish",90,10,0,0 
"Hungarian",30,0,0,0 
"Greek",10,0,0,0 
"Armenian",0,0,0,0 
"Turkish",10,0,0,0 
"Amharic",0,0,0,0 
"Arabic",85,30,0,0 
"Hebrew",0,0,0,0 
