"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Leeds and Grenville"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [1]","  English","  French","  English and French", 
"Total population by age groups [2]",97680,89845,2980,295 
"  0 to 4 years",4575,4380,55,15 
"  5 to 9 years",5500,5260,85,50 
"  10 to 14 years",6685,6510,70,25 
"  15 to 19 years",6610,6460,85,0 
"  20 to 24 years",4785,4595,70,0 
"  25 to 29 years",4030,3825,100,15 
"  30 to 34 years",5160,4880,145,10 
"  35 to 39 years",6315,5915,145,30 
"  40 to 44 years",8030,7335,280,10 
"  45 to 49 years",8230,7600,345,15 
"  50 to 54 years",7760,7035,300,10 
"  55 to 59 years",7565,6785,345,35 
"  60 to 64 years",6215,5390,310,20 
"  65 to 69 years",4930,4220,265,15 
"  70 to 74 years",4100,3470,170,45 
"  75 to 79 years",3580,2980,155,0 
"  80 to 84 years",2255,1975,35,0 
"  85 years and over",1365,1210,20,0 
"Median age [3]",43.3,42.2,51.7,43.8 
"Total population 15 years and over by legal marital status [4]",80925,73695,2765,205 
"  Never legally married (single)",20655,19600,530,15 
"  Legally married (and not separated) [5]",44925,40420,1670,135 
"  Separated, but still legally married",3035,2790,115,10 
"  Divorced",6775,6110,250,20 
"  Widowed",5540,4780,205,25 
"Total population 15 years and over by common-law status [6]",80930,73695,2765,205 
"  Not in a common-law relationship",73045,66510,2420,190 
"  In a common-law relationship",7880,7185,345,20 
"Total population by knowledge of official languages [7]",97680,89850,2975,295 
"  English only",86920,82960,105,55 
"  French only",65,0,65,0 
"  English and French",10545,6865,2805,240 
"  Neither English nor French",150,25,0,0 
"Total population by first official language spoken [8]",97680,89850,2975,295 
"  English",94495,89850,110,255 
"  French",2885,0,2865,0 
"  English and French",180,0,0,40 
"  Neither English nor French",125,0,0,0 
"Official language minority - (number) [9]",2975,0,2870,20 
"Official language minority - (percentage) [10]",3.0,0.0,96.5,6.8 
"Total population by language spoken most often at home [11]",97680,89845,2975,290 
"  Single responses",97365,89800,2890,255 
"    English",95310,89680,2120,255 
"    French",815,35,770,0 
"    Non-official languages",1230,85,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",0,0,0,0 
"      Portuguese",10,0,0,0 
"      Romanian",0,0,0,0 
"      Spanish",25,0,0,0 
"      Danish",0,0,0,0 
"      Dutch",100,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",125,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",0,0,0,0 
"      Czech",0,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",100,0,0,0 
"      Russian",60,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
