"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Nipissing [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",83610,58550,20660,870 
"  0 to 4 years",3850,3070,625,55 
"  5 to 9 years",4550,3595,880,45 
"  10 to 14 years",5475,4275,1070,65 
"  15 to 19 years",5965,4520,1245,70 
"  20 to 24 years",5615,4560,890,45 
"  25 to 29 years",4440,3365,945,30 
"  30 to 34 years",4460,3315,990,30 
"  35 to 39 years",4985,3570,1120,60 
"  40 to 44 years",6895,4895,1695,55 
"  45 to 49 years",7135,4840,1875,85 
"  50 to 54 years",6550,4255,1920,60 
"  55 to 59 years",6125,4170,1620,55 
"  60 to 64 years",4735,2865,1590,45 
"  65 to 69 years",4005,2250,1445,50 
"  70 to 74 years",3520,1910,1210,40 
"  75 to 79 years",2570,1395,820,55 
"  80 to 84 years",1875,1165,475,20 
"  85 years and over",855,545,250,10 
"Median age [4]",41.9,38.6,47.4,43.1 
"Total population 15 years and over by legal marital status [5]",69725,47615,18090,710 
"  Never legally married (single)",21485,16315,4385,235 
"  Legally married (and not separated) [6]",34560,22200,9920,325 
"  Separated, but still legally married",3290,2220,905,50 
"  Divorced",5485,3920,1355,35 
"  Widowed",4905,2955,1520,55 
"Total population 15 years and over by common-law status [7]",69730,47620,18090,705 
"  Not in a common-law relationship",62160,42065,16345,605 
"  In a common-law relationship",7570,5555,1740,100 
"Total population by knowledge of official languages [8]",83605,58550,20660,870 
"  English only",52910,49340,390,80 
"  French only",2075,20,2025,10 
"  English and French",28550,9190,18245,785 
"  Neither English nor French",75,0,0,0 
"Total population by first official language spoken [9]",83605,58550,20665,875 
"  English",62875,58535,390,595 
"  French",20475,15,20270,130 
"  English and French",185,0,0,150 
"  Neither English nor French",70,0,0,0 
"Official language minority - (number) [10]",20570,20,20270,205 
"Official language minority - (percentage) [11]",24.6,0.0,98.1,23.4 
"Total population by language spoken most often at home [12]",83610,58545,20660,870 
"  Single responses",82845,58445,20300,710 
"    English",68815,58075,7660,590 
"    French",13170,355,12640,120 
"    Non-official languages",850,15,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",25,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",15,10,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",220,0,0,0 
"      Portuguese",0,0,0,0 
"      Romanian",0,0,0,0 
"      Spanish",10,0,0,0 
"      Danish",0,0,0,0 
"      Dutch",10,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",160,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",10,0,0,0 
"      Croatian",0,0,0,0 
"      Czech",45,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",45,10,0,0 
"      Russian",25,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",0,0,0,0 
"      Ukrainian",0,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",0,0,0,0 
"      Hungarian",0,0,0,0 
"      Greek",45,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",0,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",0,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",0,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",10,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",50,0,0,0 
"      Cantonese",60,0,0,0 
"      Chinese, n.o.s. [13]",95,0,0,0 
"      Mandarin",15,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",0,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",25,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",0,0,0,0 
"      Other languages [14]",0,0,0,0 
"  Multiple responses",765,105,360,160 
"    English and French",600,85,360,145 
"    English and non-official language",140,20,0,0 
"    French and non-official language",10,0,0,0 
"    English, French and non-official language",20,0,0,15 
"Total population by language spoken on a regular basis at home [15]",83605,58545,20660,875 
"  None",69995,55535,11540,540 
"  Single responses",13535,3005,9105,330 
"    English",5860,235,5185,95 
"    French",6720,2560,3915,235 
"    Non-official languages",960,215,10,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",20,10,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",75,20,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",210,10,0,0 
"      Portuguese",65,15,0,0 
"      Romanian",0,0,0,0 
"      Spanish",20,10,10,0 
"      Danish",10,10,0,0 
"      Dutch",0,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",140,20,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",0,0,0,0 
"      Czech",25,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",70,20,0,0 
"      Russian",20,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",0,0,0,0 
"      Ukrainian",0,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",10,0,0,0 
