"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Prescott and Russell [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",78740,22905,52160,1050 
"  0 to 4 years",4065,1395,2450,110 
"  5 to 9 years",4800,1835,2810,70 
"  10 to 14 years",6090,2110,3735,110 
"  15 to 19 years",6010,1885,3910,115 
"  20 to 24 years",4040,1020,2910,30 
"  25 to 29 years",3825,1065,2625,40 
"  30 to 34 years",4760,1390,3120,135 
"  35 to 39 years",5715,1870,3505,65 
"  40 to 44 years",7605,2260,4965,80 
"  45 to 49 years",7210,2010,4955,55 
"  50 to 54 years",6200,1620,4335,65 
"  55 to 59 years",5310,1300,3735,40 
"  60 to 64 years",4320,950,3170,35 
"  65 to 69 years",2930,715,2030,30 
"  70 to 74 years",2400,570,1630,35 
"  75 to 79 years",1605,320,1135,15 
"  80 to 84 years",1180,335,745,15 
"  85 years and over",675,260,385,0 
"Median age [4]",40.0,36.8,41.2,31.7 
"Total population 15 years and over by legal marital status [5]",63785,17570,43155,750 
"  Never legally married (single)",20235,5280,14185,335 
"  Legally married (and not separated) [6]",32975,9665,21520,280 
"  Separated, but still legally married",2425,630,1670,55 
"  Divorced",4690,1190,3285,55 
"  Widowed",3460,805,2495,25 
"Total population 15 years and over by common-law status [7]",63790,17565,43155,750 
"  Not in a common-law relationship",55000,15670,36600,620 
"  In a common-law relationship",8790,1895,6555,130 
"Total population by knowledge of official languages [8]",78745,22905,52160,1050 
"  English only",15410,13740,140,25 
"  French only",11865,15,11780,10 
"  English and French",51360,9150,40235,1015 
"  Neither English nor French",105,0,0,0 
"Total population by first official language spoken [9]",78740,22905,52155,1045 
"  English",25485,22890,145,395 
"  French",52600,15,52015,350 
"  English and French",565,0,0,305 
"  Neither English nor French",90,0,0,0 
"Official language minority - (number) [10]",52885,10,52015,500 
"Official language minority - (percentage) [11]",67.2,0.0,99.7,47.8 
"Total population by language spoken most often at home [12]",78740,22900,52155,1050 
"  Single responses",77410,22685,51530,730 
"    English",27930,21870,4330,380 
"    French",48540,815,47200,350 
"    Non-official languages",935,0,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
