"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Stormont, Dundas and Glengarry [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",108585,76730,24095,1420 
"  0 to 4 years",5205,4060,770,180 
"  5 to 9 years",6125,4785,920,135 
"  10 to 14 years",7930,6220,1240,100 
"  15 to 19 years",7990,6130,1365,100 
"  20 to 24 years",5850,4440,1085,70 
"  25 to 29 years",4910,3650,1005,55 
"  30 to 34 years",5640,4210,1145,85 
"  35 to 39 years",6600,4750,1365,105 
"  40 to 44 years",9085,6580,1955,70 
"  45 to 49 years",9435,6580,2130,145 
"  50 to 54 years",8485,5730,2275,90 
"  55 to 59 years",8015,5205,2260,75 
"  60 to 64 years",6195,3880,1775,65 
"  65 to 69 years",5205,3230,1475,55 
"  70 to 74 years",4325,2535,1325,45 
"  75 to 79 years",3735,2275,955,40 
"  80 to 84 years",2280,1485,595,10 
"  85 years and over",1580,985,455,0 
"Median age [4]",42.3,40.1,47.8,34.0 
"Total population 15 years and over by legal marital status [5]",89325,61660,21165,1005 
"  Never legally married (single)",25450,18810,5245,340 
"  Legally married (and not separated) [6]",47125,31375,11740,470 
"  Separated, but still legally married",3725,2575,900,65 
"  Divorced",6830,4825,1625,75 
"  Widowed",6190,4080,1660,55 
"Total population 15 years and over by common-law status [7]",89325,61665,21160,1005 
"  Not in a common-law relationship",80480,55460,18985,850 
"  In a common-law relationship",8845,6200,2175,160 
"Total population by knowledge of official languages [8]",108585,76725,24090,1415 
"  English only",62430,57415,260,110 
"  French only",2325,10,2265,15 
"  English and French",43620,19300,21565,1290 
"  Neither English nor French",210,0,0,0 
"Total population by first official language spoken [9]",108580,76725,24095,1415 
"  English",83440,76720,260,925 
"  French",24165,0,23830,170 
"  English and French",790,0,0,315 
"  Neither English nor French",195,0,0,0 
"Official language minority - (number) [10]",24560,10,23830,335 
"Official language minority - (percentage) [11]",22.6,0.0,98.9,23.7 
"Total population by language spoken most often at home [12]",108585,76730,24095,1420 
"  Single responses",106955,76465,23340,1080 
"    English",90135,76030,9575,910 
"    French",14410,360,13745,170 
"    Non-official languages",2410,75,20,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",10,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",55,0,0,0 
"      Portuguese",15,0,0,0 
"      Romanian",60,0,0,0 
"      Spanish",50,0,0,0 
"      Danish",0,0,0,0 
"      Dutch",205,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",30,0,0,0 
"      German",350,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",0,0,0,0 
"      Czech",0,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",70,0,0,0 
"      Russian",20,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",10,0,0,0 
"      Slovenian",10,0,0,0 
"      Ukrainian",0,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",0,0,0,0 
"      Hungarian",15,0,0,0 
"      Greek",115,15,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",105,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",65,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",30,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",190,0,0,0 
"      Pashto",35,0,0,0 
"      Persian (Farsi)",0,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",335,10,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",285,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",30,20,0,0 
"      Cantonese",30,0,0,0 
"      Chinese, n.o.s. [13]",145,10,0,0 
"      Mandarin",55,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",10,0,0,0 
"      Bisayan languages",15,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",0,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",35,15,15,0 
"      Other languages [14]",45,10,0,0 
"  Multiple responses",1630,260,750,340 
"    English and French",1260,170,740,320 
"    English and non-official language",350,85,0,15 
"    French and non-official language",10,0,10,0 
"    English, French and non-official language",10,10,10,0 
"Total population by language spoken on a regular basis at home [15]",108580,76730,24090,1415 
"  None",89565,71920,13035,865 
"  Single responses",18755,4775,11040,540 
"    English",7215,275,5905,105 
