"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Timiskaming [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",32795,23245,8020,390 
"  0 to 4 years",1370,985,335,35 
"  5 to 9 years",1855,1490,325,45 
"  10 to 14 years",2085,1705,310,55 
"  15 to 19 years",2330,1850,435,30 
"  20 to 24 years",1695,1355,310,10 
"  25 to 29 years",1425,1035,370,0 
"  30 to 34 years",1670,1155,480,15 
"  35 to 39 years",1840,1305,470,25 
"  40 to 44 years",2535,1860,615,0 
"  45 to 49 years",2865,1980,780,30 
"  50 to 54 years",2730,1835,750,20 
"  55 to 59 years",2660,1775,710,30 
"  60 to 64 years",2115,1310,700,35 
"  65 to 69 years",1770,1130,505,35 
"  70 to 74 years",1565,1000,385,15 
"  75 to 79 years",1110,705,270,15 
"  80 to 84 years",695,475,135,0 
"  85 years and over",500,295,140,0 
"Median age [4]",44.2,42.2,47.5,36.0 
"Total population 15 years and over by legal marital status [5]",27490,19065,7050,265 
"  Never legally married (single)",7780,5955,1595,90 
"  Legally married (and not separated) [6]",14035,9190,4070,100 
"  Separated, but still legally married",1365,1005,285,20 
"  Divorced",2120,1490,540,30 
"  Widowed",2190,1430,560,25 
"Total population 15 years and over by common-law status [7]",27485,19065,7050,260 
"  Not in a common-law relationship",24325,16745,6295,230 
"  In a common-law relationship",3165,2320,760,25 
"Total population by knowledge of official languages [8]",32795,23245,8020,395 
"  English only",21045,19945,130,25 
"  French only",1025,0,1010,0 
"  English and French",10725,3300,6885,370 
"  Neither English nor French",10,0,0,0 
"Total population by first official language spoken [9]",32795,23240,8020,395 
"  English",24715,23245,130,260 
"  French",7995,0,7895,70 
"  English and French",90,0,0,65 
"  Neither English nor French",0,0,0,0 
"Official language minority - (number) [10]",8035,0,7895,100 
"Official language minority - (percentage) [11]",24.5,0.0,98.4,25.3 
"Total population by language spoken most often at home [12]",32800,23245,8020,395 
"  Single responses",32445,23220,7805,330 
"    English",26945,23155,2720,260 
"    French",5230,60,5090,65 
"    Non-official languages",270,0,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",20,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",10,0,0,0 
"      Portuguese",0,0,0,0 
"      Romanian",0,0,0,0 
"      Spanish",0,0,0,0 
"      Danish",0,0,0,0 
"      Dutch",0,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",85,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",10,0,0,0 
"      Czech",0,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",15,0,0,0 
"      Russian",0,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",0,0,0,0 
"      Ukrainian",30,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",15,0,0,0 
"      Finnish",10,0,0,0 
"      Hungarian",0,0,0,0 
"      Greek",35,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",0,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",0,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",0,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",10,0,0,0 
"      Cantonese",0,0,0,0 
"      Chinese, n.o.s. [13]",15,0,0,0 
"      Mandarin",0,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",0,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",0,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",0,0,0,0 
