"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Algoma [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",116075,95735,8025,585 
"  0 to 4 years",4890,4560,145,50 
"  5 to 9 years",5640,5220,225,0 
"  10 to 14 years",7285,6850,235,10 
"  15 to 19 years",8005,7435,340,45 
"  20 to 24 years",6695,6195,265,75 
"  25 to 29 years",5425,4920,250,10 
"  30 to 34 years",5425,4765,350,40 
"  35 to 39 years",6525,5600,460,10 
"  40 to 44 years",8750,7345,745,30 
"  45 to 49 years",10150,8275,785,15 
"  50 to 54 years",9655,7670,890,60 
"  55 to 59 years",8940,6935,730,65 
"  60 to 64 years",7515,5780,675,25 
"  65 to 69 years",6510,4630,660,35 
"  70 to 74 years",5830,3850,555,25 
"  75 to 79 years",4605,2950,375,60 
"  80 to 84 years",2695,1690,230,25 
"  85 years and over",1535,1055,115,10 
"Median age [4]",44.7,41.7,51.1,51.0 
"Total population 15 years and over by legal marital status [5]",98255,79105,7415,535 
"  Never legally married (single)",28645,25510,1640,220 
"  Legally married (and not separated) [6]",50395,38495,4055,210 
"  Separated, but still legally married",3850,3090,385,25 
"  Divorced",7905,6705,595,45 
"  Widowed",7460,5295,745,35 
"Total population 15 years and over by common-law status [7]",98260,79105,7420,535 
"  Not in a common-law relationship",89580,71815,6505,505 
"  In a common-law relationship",8675,7290,910,30 
"Total population by knowledge of official languages [8]",116075,95735,8025,590 
"  English only",99625,88460,355,120 
"  French only",770,0,765,0 
"  English and French",15210,7265,6905,465 
"  Neither English nor French",470,10,0,0 
"Total population by first official language spoken [9]",116075,95730,8020,585 
"  English",107775,95730,355,500 
"  French",7700,0,7670,15 
"  English and French",140,0,0,70 
"  Neither English nor French",460,0,0,0 
"Official language minority - (number) [10]",7770,0,7670,50 
"Official language minority - (percentage) [11]",6.7,0.0,95.6,8.5 
"Total population by language spoken most often at home [12]",116080,95730,8025,585 
"  Single responses",115215,95505,7795,520 
"    English",107895,95240,4530,500 
"    French",3455,160,3265,15 
"    Non-official languages",3870,115,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",50,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",190,30,0,0 
"      Oji-Cree",10,10,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",1870,10,0,0 
"      Portuguese",185,10,0,0 
"      Romanian",0,0,0,0 
"      Spanish",125,0,0,0 
"      Danish",0,0,0,0 
"      Dutch",0,0,0,0 
"      Flemish",15,0,0,0 
"      Frisian",0,0,0,0 
"      German",285,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",25,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",20,10,0,0 
"      Croatian",15,0,0,0 
"      Czech",0,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",230,0,0,0 
"      Russian",0,0,0,0 
"      Serbian",10,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",25,0,0,0 
"      Ukrainian",75,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",20,0,0,0 
"      Estonian",20,0,0,0 
"      Finnish",260,0,0,0 
"      Hungarian",80,0,0,0 
"      Greek",0,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",45,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",15,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",25,0,0,0 
"      Hindi",0,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",0,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",10,0,0,0 
"      Cantonese",65,0,0,0 
"      Chinese, n.o.s. [13]",95,0,0,0 
"      Mandarin",25,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",0,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",50,30,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",0,0,0,0 
"      Other languages [14]",15,15,0,0 
"  Multiple responses",860,225,230,70 
"    English and French",440,160,215,65 
"    English and non-official language",405,70,0,0 
"    French and non-official language",0,0,0,0 
"    English, French and non-official language",10,0,10,0 
"Total population by language spoken on a regular basis at home [15]",116080,95730,8020,585 
"  None",107060,93700,5005,405 
"  Single responses",8965,2035,2995,180 
"    English",3005,190,1345,0 
"    French",3195,1310,1645,170 
"    Non-official languages",2770,530,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",20,10,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",320,125,0,0 
"      Oji-Cree",10,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",1170,250,0,0 
"      Portuguese",95,20,0,0 
"      Romanian",0,0,0,0 
"      Spanish",90,25,0,0 
"      Danish",20,0,0,0 
"      Dutch",70,15,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",265,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,10,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",70,0,0,0 
"      Czech",0,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",80,10,0,0 
"      Russian",0,0,0,0 
"      Serbian",10,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",15,0,0,0 
"      Slovenian",25,0,0,0 
"      Ukrainian",45,10,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",30,0,0,0 
"      Finnish",190,20,0,0 
"      Hungarian",30,0,0,0 
"      Greek",30,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",0,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",10,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",10,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",10,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",20,20,0,0 
"      Korean",0,0,0,0 
"      Cantonese",35,0,0,0 
"      Chinese, n.o.s. [16]",35,10,0,0 
"      Mandarin",30,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",0,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",25,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",10,0,0,0 
"      Other languages [17]",25,20,0,0 
"  Multiple responses",50,10,15,0 
"    English and French",10,0,0,0 
"    English and non-official language",0,0,0,0 
"    French and non-official language",35,0,15,0 
"    English, French and non-official language",0,0,0,0 
"Algonquin - Various non-official languages spoken [18]",0,0,0,0 
"Atikamekw",0,0,0,0 
"Blackfoot",0,0,0,0 
"Carrier",0,0,0,0 
"Chilcotin",0,0,0,0 
"Chipewyan",0,0,0,0 
"Cree",125,45,0,0 
"Siouan languages (Dakota/Sioux)",0,0,0,0 
"Dene",0,0,0,0 
"Dogrib",0,0,0,0 
"Gitksan",0,0,0,0 
"Inuinnaqtun",0,0,0,0 
"Inuktitut, n.i.e.",0,0,0,0 
"Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"Malecite",0,0,0,0 
"Mi'kmaq",0,0,0,0 
"Mohawk",0,0,0,0 
"Montagnais-Naskapi",0,0,0,0 
"Nisga'a",0,0,0,0 
"North Slave (Hare)",0,0,0,0 
"Ojibway",950,430,30,10 
"Oji-Cree",15,0,0,0 
"Shuswap",0,0,0,0 
"South Slave",0,0,0,0 
"Tlingit",0,0,0,0 
"Italian",6495,1540,65,10 
"Portuguese",410,55,0,0 
"Romanian",20,0,0,0 
"Spanish",540,220,25,0 
"Danish",60,15,0,0 
"Dutch",335,50,0,0 
"Flemish",20,0,0,0 
"Frisian",0,0,0,0 
"German",1715,270,0,0 
"Norwegian",0,0,0,0 
"Swedish",100,20,0,0 
"Yiddish",0,0,0,0 
"Bosnian",0,0,0,0 
"Bulgarian",25,15,0,0 
"Croatian",230,45,0,0 
"Czech",35,15,0,0 
"Macedonian",0,0,0,0 
