"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Muskoka [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",56275,52390,770,65 
"  0 to 4 years",2325,2255,0,0 
"  5 to 9 years",2765,2680,0,10 
"  10 to 14 years",3680,3560,20,0 
"  15 to 19 years",3720,3585,40,10 
"  20 to 24 years",2905,2850,15,0 
"  25 to 29 years",2315,2220,30,0 
"  30 to 34 years",2555,2445,35,10 
"  35 to 39 years",3240,3055,60,10 
"  40 to 44 years",4495,4250,120,10 
"  45 to 49 years",4695,4435,55,0 
"  50 to 54 years",4560,4190,75,15 
"  55 to 59 years",4440,4040,80,0 
"  60 to 64 years",3895,3525,85,0 
"  65 to 69 years",3450,3030,65,0 
"  70 to 74 years",2615,2170,45,10 
"  75 to 79 years",2170,1900,20,0 
"  80 to 84 years",1445,1285,10,0 
"  85 years and over",1005,915,20,0 
"Median age [4]",45.2,44.2,50.5,35.5 
"Total population 15 years and over by legal marital status [5]",47510,43895,745,50 
"  Never legally married (single)",12080,11640,125,20 
"  Legally married (and not separated) [6]",26275,23825,455,25 
"  Separated, but still legally married",1800,1685,40,0 
"  Divorced",3950,3660,80,0 
"  Widowed",3400,3090,50,0 
"Total population 15 years and over by common-law status [7]",47505,43895,745,50 
"  Not in a common-law relationship",42865,39505,635,45 
"  In a common-law relationship",4640,4385,110,10 
"Total population by knowledge of official languages [8]",56275,52395,770,65 
"  English only",52570,49700,75,0 
"  French only",15,0,15,0 
"  English and French",3690,2690,680,65 
"  Neither English nor French",0,0,0,0 
"Total population by first official language spoken [9]",56275,52395,770,65 
"  English",55500,52395,75,60 
"  French",700,0,690,0 
"  English and French",75,0,0,10 
"  Neither English nor French",0,0,0,0 
"Official language minority - (number) [10]",740,0,690,0 
"Official language minority - (percentage) [11]",1.3,0.0,89.6,0.0 
"Total population by language spoken most often at home [12]",56275,52390,770,65 
"  Single responses",56050,52385,735,60 
"    English",55220,52365,630,60 
"    French",110,0,105,0 
"    Non-official languages",715,20,0,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",20,0,0,0 
"      Portuguese",0,0,0,0 
"      Romanian",0,0,0,0 
"      Spanish",50,0,0,0 
"      Danish",15,0,0,0 
"      Dutch",40,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",235,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",10,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",20,0,0,0 
"      Czech",55,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",30,0,0,0 
"      Russian",25,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",15,0,0,0 
"      Ukrainian",0,0,0,0 
"      Latvian",10,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",20,0,0,0 
"      Hungarian",30,0,0,0 
"      Greek",15,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",0,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",0,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",20,0,0,0 
"      Sindhi",10,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",25,0,0,0 
"      Cantonese",50,10,0,0 
"      Chinese, n.o.s. [13]",0,0,0,0 
"      Mandarin",0,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",0,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",0,0,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",0,0,0,0 
"      Other languages [14]",15,0,0,0 
"  Multiple responses",225,0,30,10 
"    English and French",40,0,30,0 
"    English and non-official language",190,0,0,0 
"    French and non-official language",0,0,0,0 
"    English, French and non-official language",0,0,0,0 
"Total population by language spoken on a regular basis at home [15]",56275,52395,770,65 
"  None",54730,52005,465,30 
"  Single responses",1535,390,295,35 
"    English",380,10,55,0 
"    French",550,275,225,35 
"    Non-official languages",605,100,10,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",15,10,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",10,0,0,0 
"      Portuguese",0,0,0,0 
"      Romanian",0,0,0,0 
"      Spanish",25,20,0,0 
"      Danish",15,10,0,0 
"      Dutch",90,0,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",245,10,10,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",10,0,0,0 
"      Czech",0,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",55,10,0,0 
"      Russian",10,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",0,0,0,0 
"      Ukrainian",10,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",10,0,0,0 
"      Hungarian",15,0,0,0 
"      Greek",20,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",0,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",0,0,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",0,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",0,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",0,0,0,0 
"      Korean",20,10,0,0 
"      Cantonese",0,0,0,0 
"      Chinese, n.o.s. [16]",0,0,0,0 
"      Mandarin",20,20,0,0 
