"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Peel [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",1154065,628390,12725,2195 
"  0 to 4 years",75965,47005,400,150 
"  5 to 9 years",81100,53605,470,180 
"  10 to 14 years",87865,59330,650,265 
"  15 to 19 years",84170,54955,480,265 
"  20 to 24 years",78920,48155,580,205 
"  25 to 29 years",77325,41695,960,160 
"  30 to 34 years",83185,39855,885,125 
"  35 to 39 years",94965,44450,1045,190 
"  40 to 44 years",104335,51070,1350,160 
"  45 to 49 years",93710,46025,1485,120 
"  50 to 54 years",77860,38070,1130,140 
"  55 to 59 years",67055,34070,1055,75 
"  60 to 64 years",47480,23735,800,65 
"  65 to 69 years",34500,15455,535,40 
"  70 to 74 years",26860,11595,395,35 
"  75 to 79 years",18630,8760,255,30 
"  80 to 84 years",12335,6070,185,15 
"  85 years and over",7805,4480,65,0 
"Median age [4]",35.5,31.2,43.3,26.8 
"Total population 15 years and over by legal marital status [5]",909145,468455,11205,1605 
"  Never legally married (single)",275565,183725,2935,730 
"  Legally married (and not separated) [6]",519190,217960,6190,665 
"  Separated, but still legally married",27145,16855,505,75 
"  Divorced",49120,32220,975,80 
"  Widowed",38120,17695,600,55 
"Total population 15 years and over by common-law status [7]",909145,468455,11210,1600 
"  Not in a common-law relationship",868320,439105,10150,1515 
"  In a common-law relationship",40825,29355,1050,85 
"Total population by knowledge of official languages [8]",1154070,628390,12725,2200 
"  English only",1032370,588265,835,385 
"  French only",915,30,495,15 
"  English and French",77610,39500,11370,1790 
"  Neither English nor French",43175,600,30,15 
"Total population by first official language spoken [9]",1154070,628390,12725,2200 
"  English",1088705,628365,830,1480 
"  French",13015,25,11900,135 
"  English and French",9975,0,0,580 
"  Neither English nor French",42370,0,0,0 
"Official language minority - (number) [10]",18005,30,11900,425 
"Official language minority - (percentage) [11]",1.6,0.0,93.5,19.3 
"Total population by language spoken most often at home [12]",1154070,628390,12725,2200 
"  Single responses",1101655,614795,12075,1540 
"    English",781860,601540,7315,1290 
"    French",5185,180,4325,105 
"    Non-official languages",314610,13075,435,145 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",0,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",10,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",8390,230,0,0 
"      Portuguese",13165,550,20,0 
"      Romanian",1680,10,10,0 
"      Spanish",14805,510,10,0 
"      Danish",45,0,0,0 
"      Dutch",220,0,0,0 
"      Flemish",15,0,0,0 
"      Frisian",0,0,0,0 
"      German",895,15,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",10,0,0,0 
"      Yiddish",10,0,0,0 
"      Bosnian",1165,30,0,0 
"      Bulgarian",750,25,0,0 
"      Croatian",3730,55,0,0 
