"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Toronto [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",2476565,1277270,32310,5300 
"  0 to 4 years",134880,83400,1095,410 
"  5 to 9 years",133330,85455,1100,445 
"  10 to 14 years",140905,87960,1130,505 
"  15 to 19 years",145400,83285,1005,405 
"  20 to 24 years",171710,94680,1690,495 
"  25 to 29 years",189785,104690,2770,490 
"  30 to 34 years",194715,96955,3150,435 
"  35 to 39 years",201880,92095,2825,405 
"  40 to 44 years",211100,97430,3330,300 
"  45 to 49 years",192890,90885,3035,230 
"  50 to 54 years",167720,82705,2665,240 
"  55 to 59 years",147270,73105,2495,195 
"  60 to 64 years",108460,54000,1645,200 
"  65 to 69 years",93105,39280,1285,110 
"  70 to 74 years",83730,35245,1100,110 
"  75 to 79 years",74040,34015,1035,140 
"  80 to 84 years",52185,24385,645,100 
"  85 years and over",33460,17710,315,85 
"Median age [4]",38.1,35.1,42.1,28.8 
"Total population 15 years and over by legal marital status [5]",2067450,1020450,28985,3940 
"  Never legally married (single)",758990,472415,11770,2170 
"  Legally married (and not separated) [6]",975810,373230,11620,1095 
"  Separated, but still legally married",70785,37850,1260,140 
"  Divorced",142710,83575,2770,285 
"  Widowed",119160,53385,1565,245 
"Total population 15 years and over by common-law status [7]",2067450,1020450,28985,3945 
"  Not in a common-law relationship",1944070,934350,25255,3500 
"  In a common-law relationship",123375,86105,3730,440 
"Total population by knowledge of official languages [8]",2476565,1277270,32310,5295 
"  English only",2114520,1145180,2410,1035 
"  French only",2580,65,1135,50 
"  English and French",229280,130425,28740,4205 
"  Neither English nor French",130185,1595,25,15 
"Total population by first official language spoken [9]",2476565,1277265,32310,5300 
"  English",2288475,1277200,2410,3735 
"  French",33275,70,29900,365 
"  English and French",26870,0,0,1200 
"  Neither English nor French",127945,0,0,0 
"Official language minority - (number) [10]",46715,70,29905,960 
"Official language minority - (percentage) [11]",1.9,0.0,92.6,18.1 
"Total population by language spoken most often at home [12]",2476565,1277265,32310,5295 
"  Single responses",2378865,1251235,30125,3960 
"    English",1593820,1219620,17935,3385 
"    French",13535,695,10930,285 
"    Non-official languages",771515,30925,1260,285 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",10,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,0,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",10,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",30,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",0,0,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",44440,1385,60,0 
"      Portuguese",37820,1520,85,0 
"      Romanian",8910,140,90,10 
"      Spanish",43910,1965,115,10 
"      Danish",95,25,0,0 
"      Dutch",270,0,0,0 
"      Flemish",10,0,0,0 
"      Frisian",10,0,0,0 
"      German",2750,45,20,0 
"      Norwegian",15,0,0,0 
"      Swedish",90,10,0,0 
"      Yiddish",715,10,0,0 
"      Bosnian",760,20,10,0 
"      Bulgarian",3405,65,0,0 
"      Croatian",3075,85,0,0 
"      Czech",930,10,0,0 
"      Macedonian",4120,115,0,10 
"      Polish",16895,360,0,10 
"      Russian",28145,725,70,25 
"      Serbian",9310,200,10,0 
"      Serbo-Croatian",905,30,0,0 
"      Slovak",960,10,0,0 
"      Slovenian",870,15,10,0 
"      Ukrainian",8680,170,10,0 
"      Latvian",830,0,0,0 
"      Lithuanian",1025,10,0,0 
"      Estonian",1235,25,0,0 
"      Finnish",360,0,0,0 
"      Hungarian",4795,65,10,10 
"      Greek",16205,550,15,0 
"      Armenian",4710,30,15,0 
"      Turkish",4710,130,15,10 
"      Amharic",2780,140,0,0 
"      Arabic",14160,715,235,10 
"      Hebrew",2155,85,35,0 
"      Maltese",510,70,0,0 
"      Somali",7525,445,15,10 
"      Tigrigna",1660,155,0,0 
"      Bengali",14590,930,15,10 
"      Gujarati",22120,960,0,0 
"      Hindi",7785,430,10,0 
"      Kurdish",655,35,0,0 
"      Panjabi (Punjabi)",18825,560,10,10 
"      Pashto",2095,30,0,0 
"      Persian (Farsi)",27570,760,80,25 
"      Sindhi",1870,270,0,0 
"      Sinhala (Sinhalese)",1850,70,0,0 
"      Urdu",30820,1140,0,0 
"      Malayalam",1705,85,0,0 
"      Tamil",50660,3315,20,0 
"      Telugu",1435,130,0,0 
"      Japanese",2910,155,10,10 
"      Korean",23785,615,10,15 
"      Cantonese",75440,2040,35,0 
"      Chinese, n.o.s. [13]",83645,2245,15,20 
"      Mandarin",38285,460,10,20 
"      Taiwanese",570,15,0,0 
"      Lao",490,50,0,0 
"      Khmer (Cambodian)",980,50,0,0 
"      Vietnamese",21105,1450,75,20 
"      Bisayan languages",1575,75,0,0 
"      Ilocano",1945,185,0,0 
"      Malay",585,10,0,0 
"      Tagalog (Pilipino, Filipino)",33920,3655,0,10 
