"Selected Demographic, Cultural, Educational, Labour Force and Income Characteristics (830), Mother Tongue (4), Age Groups (8A) and Sex (3) for the Population of Canada, Provinces, Territories, Census Divisions and Census Subdivisions, 2006 Census - 20% Sample Data"
"Geography = Thompson-Nicola [1]"
"Age groups (8A) = Total - Age groups"
"Sex (3) = Total - Sex"
"Selected demographic, cultural, educational, labour force and income characteristics (830)","Total - Mother tongue [2]","  English","  French","  English and French", 
"Total population by age groups [3]",121225,107845,1530,195 
"  0 to 4 years",5740,5450,20,20 
"  5 to 9 years",6510,6195,0,15 
"  10 to 14 years",7980,7595,20,10 
"  15 to 19 years",8630,8160,35,0 
"  20 to 24 years",7865,7240,25,0 
"  25 to 29 years",6125,5700,70,20 
"  30 to 34 years",6360,5850,55,0 
"  35 to 39 years",7500,6790,65,10 
"  40 to 44 years",9360,8540,135,20 
"  45 to 49 years",10380,9430,115,0 
"  50 to 54 years",10200,8960,140,20 
"  55 to 59 years",9405,7945,205,15 
"  60 to 64 years",7285,6025,185,25 
"  65 to 69 years",6080,4930,145,10 
"  70 to 74 years",4545,3340,130,10 
"  75 to 79 years",3505,2810,70,0 
"  80 to 84 years",2220,1650,75,10 
"  85 years and over",1540,1255,30,0 
"Median age [4]",42.3,40.7,57.3,43.9 
"Total population 15 years and over by legal marital status [5]",100995,88615,1480,155 
"  Never legally married (single)",30845,28630,230,25 
"  Legally married (and not separated) [6]",50645,42950,795,45 
"  Separated, but still legally married",3770,3375,65,40 
"  Divorced",9915,8905,240,40 
"  Widowed",5820,4755,150,10 
"Total population 15 years and over by common-law status [7]",101000,88615,1480,150 
"  Not in a common-law relationship",90280,78685,1350,140 
"  In a common-law relationship",10720,9930,125,15 
"Total population by knowledge of official languages [8]",121220,107845,1530,195 
"  English only",114225,103370,215,70 
"  French only",20,0,15,0 
"  English and French",6510,4430,1300,125 
"  Neither English nor French",465,45,0,0 
"Total population by first official language spoken [9]",121220,107845,1530,195 
"  English",119320,107845,215,190 
"  French",1335,0,1315,10 
"  English and French",160,0,0,0 
"  Neither English nor French",410,0,0,0 
"Official language minority - (number) [10]",1410,0,1315,10 
"Official language minority - (percentage) [11]",1.2,0.0,85.9,5.1 
"Total population by language spoken most often at home [12]",121220,107845,1530,195 
"  Single responses",120505,107660,1490,195 
"    English",116320,107440,1340,190 
"    French",180,10,150,10 
"    Non-official languages",4005,205,10,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",15,15,0,0 
"      Chilcotin",10,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",20,20,0,0 
"      Siouan languages (Dakota/Sioux)",0,10,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",10,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",0,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",35,15,0,0 
"      South Slave",10,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",485,10,0,0 
"      Portuguese",35,0,0,0 
"      Romanian",0,0,0,0 
"      Spanish",125,20,0,0 
"      Danish",0,0,0,0 
"      Dutch",60,10,0,0 
"      Flemish",0,0,0,0 
"      Frisian",0,0,0,0 
"      German",350,0,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",0,0,0,0 
"      Bulgarian",25,0,0,0 
"      Croatian",10,0,0,0 
"      Czech",35,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",15,0,0,0 
"      Russian",60,0,0,0 
"      Serbian",30,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",25,0,0,0 
"      Slovenian",0,0,0,0 
"      Ukrainian",0,0,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",0,0,0,0 
"      Hungarian",25,0,0,0 
"      Greek",10,0,0,0 
"      Armenian",25,0,0,0 
"      Turkish",0,0,0,0 
"      Amharic",0,0,0,0 
"      Arabic",40,0,0,0 
"      Hebrew",0,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",10,0,0,0 
"      Gujarati",10,0,0,0 
"      Hindi",50,30,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",1120,0,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",10,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",0,0,0,0 
"      Urdu",0,0,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",125,0,0,0 
"      Korean",225,0,0,0 
"      Cantonese",230,0,0,0 
"      Chinese, n.o.s. [13]",300,0,0,0 
"      Mandarin",55,0,0,0 
"      Taiwanese",0,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",0,0,0,0 
"      Vietnamese",70,0,0,0 
"      Bisayan languages",0,0,0,0 
"      Ilocano",10,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",60,10,0,0 
"      Akan (Twi)",0,0,0,0 
"      Swahili",0,0,0,0 
"      Creoles",0,0,0,0 
"      Other languages [14]",230,60,0,0 
"  Multiple responses",720,180,35,0 
"    English and French",45,10,40,0 
"    English and non-official language",675,175,0,0 
"    French and non-official language",0,0,0,0 
"    English, French and non-official language",0,0,0,0 
"Total population by language spoken on a regular basis at home [15]",121220,107845,1530,195 
"  None",115620,106440,1095,150 
"  Single responses",5490,1385,435,50 
"    English",1840,80,80,10 
"    French",730,335,345,45 
"    Non-official languages",2925,970,10,0 
"      Algonquin",0,0,0,0 
"      Atikamekw",0,0,0,0 
"      Blackfoot",0,0,0,0 
"      Carrier",0,0,0,0 
"      Chilcotin",0,0,0,0 
"      Chipewyan",0,0,0,0 
"      Cree",25,0,0,0 
"      Siouan languages (Dakota/Sioux)",0,10,0,0 
"      Dene",0,0,0,0 
"      Dogrib",0,0,0,0 
"      Gitksan",0,0,0,0 
"      Inuinnaqtun",0,0,0,0 
"      Inuktitut, n.i.e.",0,0,0,0 
"      Kutchin-Gwich'in (Loucheux)",0,0,0,0 
"      Malecite",0,0,0,0 
"      Mi'kmaq",10,0,0,0 
"      Mohawk",0,0,0,0 
"      Montagnais-Naskapi",0,0,0,0 
"      Nisga'a",0,0,0,0 
"      North Slave (Hare)",0,0,0,0 
"      Ojibway",0,0,0,0 
"      Oji-Cree",0,0,0,0 
"      Shuswap",315,240,0,0 
"      South Slave",0,0,0,0 
"      Tlingit",0,0,0,0 
"      Italian",415,85,0,0 
"      Portuguese",70,0,0,0 
"      Romanian",20,10,0,0 
"      Spanish",160,65,0,0 
"      Danish",25,0,0,0 
"      Dutch",85,10,0,0 
"      Flemish",10,0,0,0 
"      Frisian",0,0,0,0 
"      German",375,35,0,0 
"      Norwegian",0,0,0,0 
"      Swedish",0,0,0,0 
"      Yiddish",0,0,0,0 
"      Bosnian",10,0,0,0 
"      Bulgarian",0,0,0,0 
"      Croatian",20,15,0,0 
"      Czech",15,0,0,0 
"      Macedonian",0,0,0,0 
"      Polish",25,0,0,0 
"      Russian",50,0,0,0 
"      Serbian",0,0,0,0 
"      Serbo-Croatian",0,0,0,0 
"      Slovak",0,0,0,0 
"      Slovenian",0,0,0,0 
"      Ukrainian",40,25,0,0 
"      Latvian",0,0,0,0 
"      Lithuanian",0,0,0,0 
"      Estonian",0,0,0,0 
"      Finnish",10,0,0,0 
"      Hungarian",25,0,0,0 
"      Greek",20,0,0,0 
"      Armenian",0,0,0,0 
"      Turkish",65,35,0,0 
"      Amharic",0,0,0,0 
"      Arabic",15,0,0,0 
"      Hebrew",10,0,0,0 
"      Maltese",0,0,0,0 
"      Somali",0,0,0,0 
"      Tigrigna",0,0,0,0 
"      Bengali",0,0,0,0 
"      Gujarati",0,0,0,0 
"      Hindi",20,10,0,0 
"      Kurdish",0,0,0,0 
"      Panjabi (Punjabi)",370,125,0,0 
"      Pashto",0,0,0,0 
"      Persian (Farsi)",25,0,0,0 
"      Sindhi",0,0,0,0 
"      Sinhala (Sinhalese)",10,0,0,0 
"      Urdu",10,10,0,0 
"      Malayalam",0,0,0,0 
"      Tamil",0,0,0,0 
"      Telugu",0,0,0,0 
"      Japanese",125,65,0,0 
"      Korean",0,0,0,0 
"      Cantonese",10,0,0,0 
"      Chinese, n.o.s. [16]",85,20,0,0 
"      Mandarin",10,10,0,0 
"      Taiwanese",30,0,0,0 
"      Lao",0,0,0,0 
"      Khmer (Cambodian)",10,0,0,0 
"      Vietnamese",10,0,0,0 
"      Bisayan languages",10,0,0,0 
"      Ilocano",0,0,0,0 
"      Malay",0,0,0,0 
"      Tagalog (Pilipino, Filipino)",95,20,0,0 
"      Akan (Twi)",0,0,0,0 
